               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 130,            0.058302,            0.030236,           0.0097209,             0.51273,             0.31604,             0.32745,             0.15721,            0.055565,            0.030297,            0.012239,            0.004195,            0.004195,            0.004195
                 131,            0.058298,            0.029966,           0.0097547,             0.51187,             0.31627,             0.32762,             0.15717,            0.055556,            0.030299,            0.012246,             0.00415,             0.00415,             0.00415
                 132,            0.058222,            0.030083,           0.0097668,             0.50888,             0.31713,             0.32685,             0.15699,            0.055554,            0.030302,            0.012253,            0.004105,            0.004105,            0.004105
                 133,            0.058142,            0.030033,           0.0097283,             0.51353,               0.317,             0.32694,             0.15713,            0.055545,            0.030306,            0.012265,             0.00406,             0.00406,             0.00406
                 134,            0.058038,            0.030077,           0.0095935,             0.51683,             0.31594,             0.32677,             0.15673,            0.055543,            0.030306,            0.012279,            0.004015,            0.004015,            0.004015
                 135,            0.058079,            0.030172,             0.00967,             0.51782,             0.31556,             0.32681,             0.15683,            0.055538,            0.030309,            0.012289,             0.00397,             0.00397,             0.00397
                 136,            0.058058,            0.030056,           0.0096414,             0.51751,             0.31397,             0.32658,             0.15683,            0.055535,            0.030312,            0.012298,            0.003925,            0.003925,            0.003925
                 137,            0.058008,            0.029845,           0.0096603,             0.51476,             0.31511,             0.32656,             0.15679,            0.055536,            0.030314,            0.012307,             0.00388,             0.00388,             0.00388
                 138,            0.057969,            0.029996,           0.0096593,              0.5197,             0.31234,             0.32613,             0.15645,            0.055537,            0.030319,            0.012325,            0.003835,            0.003835,            0.003835
                 139,            0.057919,            0.029998,           0.0096276,             0.52006,             0.31288,             0.32635,              0.1566,            0.055539,            0.030324,            0.012339,             0.00379,             0.00379,             0.00379
                 140,            0.058045,            0.030184,           0.0096041,             0.52849,             0.30915,             0.32616,             0.15649,             0.05554,            0.030324,            0.012353,            0.003745,            0.003745,            0.003745
                 141,            0.057803,             0.02988,           0.0095697,             0.52957,             0.30878,             0.32622,             0.15655,            0.055537,            0.030325,            0.012361,              0.0037,              0.0037,              0.0037
                 142,            0.057896,             0.03016,           0.0095837,              0.5225,              0.3109,             0.32665,             0.15659,            0.055531,            0.030322,            0.012372,            0.003655,            0.003655,            0.003655
                 143,            0.057914,            0.030144,           0.0095354,             0.52257,             0.31047,             0.32616,             0.15649,            0.055535,            0.030321,            0.012389,             0.00361,             0.00361,             0.00361
                 144,             0.05787,            0.029876,           0.0095822,              0.5238,             0.31087,             0.32619,             0.15647,            0.055533,            0.030325,            0.012402,            0.003565,            0.003565,            0.003565
                 145,            0.057714,            0.029947,           0.0095347,             0.52276,             0.31203,             0.32705,             0.15683,            0.055532,            0.030328,            0.012402,             0.00352,             0.00352,             0.00352
                 146,            0.057755,            0.029718,           0.0095237,             0.52117,             0.31242,             0.32747,             0.15693,            0.055532,            0.030332,            0.012408,            0.003475,            0.003475,            0.003475
                 147,            0.057828,            0.029834,            0.009583,             0.52297,             0.31226,             0.32808,             0.15694,            0.055536,            0.030337,            0.012416,             0.00343,             0.00343,             0.00343
